id,yearly_availability
19215,0
36301,0
40566,1
33694,1
28873,0
36894,0
31744,1
27707,1
23106,0
24044,0
35030,1
44675,1
15214,1
1018,1
29741,1
47171,0
45291,0
35596,0
38605,1
19107,0
16855,0
35006,1
11199,1
37929,0
34304,0
3879,1
18374,1
47232,0
46846,0
2707,0
13116,1
45560,1
41146,0
4657,1
13105,0
31472,1
15077,0
3456,1
14256,0
39573,1
33523,0
24844,1
27961,0
33845,0
31923,0
2760,1
2085,0
4873,0
35324,0
46787,1
860,1
43579,1
45007,1
7539,1
11272,1
5767,0
41862,0
36231,1
43542,1
7935,1
19492,0
39448,0
40121,0
2226,0
43045,0
37980,0
25874,0
46907,0
35190,0
26635,0
8082,0
45786,0
31284,0
45047,0
48868,0
27127,0
18228,0
46495,1
28132,1
12448,1
46380,1
45530,0
19426,1
4454,0
9488,1
35237,1
18855,1
33930,0
7543,1
781,1
21532,0
29704,1
9340,1
47358,0
16464,0
43409,1
10332,0
45614,1
47456,0
13934,1
41663,1
34774,1
36159,1
26660,0
4061,1
44667,0
772,1
36258,1
1606,0
12876,0
17185,0
15231,1
28189,1
27717,1
44910,0
34300,1
26507,1
48748,1
43906,0
22367,1
12879,1
45548,1
8462,0
31348,0
14119,0
46620,1
28982,1
19534,1
20225,1
21176,1
41747,0
2518,1
34851,1
15630,0
20394,0
13037,1
39404,0
33366,1
18895,0
39811,1
46374,1
20093,0
5972,0
30224,1
39348,1
38290,1
47362,1
17289,0
46470,0
41351,1
33532,1
26287,0
16441,0
29720,0
47485,0
1626,1
413,1
48570,1
33139,1
21320,0
40041,1
30036,0
28456,1
1320,0
47636,0
31588,1
5612,1
34119,0
33948,1
12157,0
8482,0
10693,1
19895,1
28667,1
45102,1
41679,1
48545,1
28217,0
6516,0
19127,1
31411,1
36928,0
28311,0
27444,0
45434,1
2892,1
6128,0
15640,0
44380,0
38990,1
46119,1
47944,0
31256,0
32052,1
31740,0
39231,0
29032,0
26694,1
8348,1
11883,0
4954,1
41919,1
43730,0
11743,1
37014,1
6930,0
33998,1
34545,1
46283,1
35898,1
21240,1
26814,0
7551,1
16845,0
31745,0
24952,0
36101,1
6345,0
34631,0
33137,1
44539,1
16093,1
35261,0
34325,1
7740,0
36036,1
19121,0
46566,1
47451,0
3875,0
47416,0
11595,0
20965,1
1984,1
19248,0
42720,0
5124,0
35460,1
15381,1
37528,1
31738,0
35532,0
45616,0
38877,1
13801,0
30258,1
4729,1
28779,0
48768,0
5882,1
26997,0
37745,1
39528,1
26859,1
14187,1
42105,1
48663,1
41220,0
36091,0
40349,1
14679,0
45204,1
36803,0
25986,0
38499,0
303,1
3055,1
43783,0
33168,1
39537,1
4735,0
17889,0
43292,0
22874,0
1910,0
43353,1
16935,0
47036,1
23586,1
27178,1
14050,1
17589,1
24326,0
44088,0
36,0
5030,0
34424,0
40933,0
44077,1
2175,1
19806,0
36478,0
36434,1
1023,0
42523,0
21797,0
30460,0
15148,0
33113,1
21436,0
44393,1
12733,0
43202,0
11077,0
28804,1
18890,0
45956,1
42568,0
11028,0
36668,1
32276,1
1486,0
8012,1
33367,1
15598,0
45428,0
36370,1
18826,1
14057,0
36756,0
5743,1
36775,1
34357,1
30021,0
14795,0
32173,0
25497,1
43960,0
4818,1
30791,0
41525,1
37162,1
39761,1
40562,0
2223,1
4865,1
16552,1
14877,1
8372,0
16083,0
19756,1
4169,1
6239,1
39787,1
38180,1
10842,1
41300,0
19325,1
42764,1
5109,0
39864,1
47353,0
25992,1
25252,1
39896,0
39002,0
46020,1
42713,0
45233,0
38563,1
20300,1
41994,0
18356,0
5445,0
31200,0
41864,1
36406,1
40469,0
46528,1
19671,0
11703,1
39879,1
46595,1
46359,1
45242,1
6704,0
22387,0
30533,1
36791,0
25708,1
37806,0
33358,0
46007,1
45532,1
29425,0
5051,1
10028,1
35997,0
16050,0
1618,0
40235,1
19425,1
25837,1
41759,1
38282,1
42415,1
865,0
19213,1
7181,1
30067,0
36765,1
42216,1
39453,0
17620,0
29702,1
39730,0
28725,0
42794,1
44218,0
28400,1
8088,0
4918,1
27160,1
43931,0
42107,0
28472,1
37272,1
